Trial #,Training AUC,Validation AUC,SF Testing AUC,Training AUC w/ FS,Validation AUC w/ FS,SF Testing AUC w/ FS
91,0.9761046393995583,0.8136752136752137,0.6909722222222222,0.9896743911463661,0.8444444444444444,0.7482638888888888
92,0.9801692899964246,0.9247863247863248,0.6875,0.9995809324253535,0.9111111111111112,0.6770833333333333
93,0.9651156525000092,0.9235294117647059,0.7256944444444444,0.9909821208601695,0.95,0.6944444444444444
94,0.9951676829268292,0.8571428571428571,0.6180555555555556,0.9911031042128602,0.8441558441558441,0.6631944444444444
95,0.969641519840577,0.8837606837606838,0.6805555555555556,0.991771447418383,0.8974358974358976,0.6979166666666666
96,0.9706521739130434,0.8846153846153846,0.7326388888888888,0.9727624363493929,0.8543956043956044,0.6388888888888888
97,0.977161466090935,0.9135802469135802,0.6284722222222222,0.9869419515679816,0.8881172839506174,0.6961805555555556
98,0.9770526695526695,0.8371710526315789,0.7361111111111112,0.9601022126022126,0.819078947368421,0.7465277777777777
99,0.9964132925897632,0.8918918918918919,0.704861111111111,0.989820473644003,0.9220985691573926,0.7152777777777778
100,0.9900091232113704,0.8955119214586256,0.654513888888889,0.9991401773424246,0.9186535764375877,0.6597222222222222
